Source,Target,Label
ns:g.122x30ld,ns:m.019syg,ns:computer.programming_language.parent_language
ns:m.0100pwgw,ns:m.060kv,ns:computer.programming_language.influenced_by
ns:m.0100pwgw,ns:m.07657k,ns:computer.programming_language.influenced_by
ns:m.0100pwgw,ns:m.07sbkfb,ns:computer.programming_language.influenced_by
ns:m.010134,ns:m.079l6,ns:computer.programming_language.influenced_by
ns:m.010f6pwn,ns:m.023k72,ns:computer.programming_language.influenced_by
ns:m.010f6pwn,ns:m.02f1mc,ns:computer.programming_language.influenced_by
ns:m.010f6pwn,ns:m.02p97,ns:computer.programming_language.influenced_by
ns:m.010f6pwn,ns:m.04kyw,ns:computer.programming_language.influenced_by
ns:m.010f6pwn,ns:m.04n8q,ns:computer.programming_language.influenced_by
ns:m.010f6pwn,ns:m.0gd42,ns:computer.programming_language.influenced_by
ns:m.010p5v53,ns:m.04n8q,ns:computer.programming_language.influenced_by
ns:m.010pkn7n,ns:m.01kbt7,ns:computer.programming_language.influenced_by
ns:m.010sd4y3,ns:m.0dsbpg6,ns:computer.programming_language.influenced
ns:m.010sd4y3,ns:m.01kbt7,ns:computer.programming_language.influenced_by
ns:m.010sd4y3,ns:m.02471,ns:computer.programming_language.influenced_by
ns:m.010sd4y3,ns:m.03j_q,ns:computer.programming_language.influenced_by
ns:m.010sd4y3,ns:m.05q31,ns:computer.programming_language.influenced_by
ns:m.010sd4y3,ns:m.05z1_,ns:computer.programming_language.influenced_by
ns:m.010sd4y3,ns:m.06ff5,ns:computer.programming_language.influenced_by
ns:m.010sd4y3,ns:m.07657k,ns:computer.programming_language.influenced_by
ns:m.010sd4y3,ns:m.091hdj,ns:computer.programming_language.influenced_by
ns:m.010sd4y3,ns:m.0dsbpg6,ns:computer.programming_language.influenced_by
ns:m.010sd4y3,ns:m.05q31,ns:computer.programming_language.parent_language
ns:m.01159vfc,ns:m.015glf,ns:computer.programming_language.influenced
ns:m.011k8l,ns:m.019p2,ns:computer.programming_language.influenced
ns:m.011k8l,ns:m.03x8qv,ns:computer.programming_language.influenced
ns:m.011k8l,ns:m.04d5t6,ns:computer.programming_language.influenced
ns:m.011k8l,ns:m.04zs6,ns:computer.programming_language.influenced
ns:m.011k8l,ns:m.05_y29,ns:computer.programming_language.influenced
ns:m.011k8l,ns:m.03s53r,ns:computer.programming_language.influenced_by
ns:m.011k8l,ns:m.025_bvc,ns:computer.programming_language.dialects
ns:m.011sq2h3,ns:m.05xjv,ns:computer.programming_language.parent_language
ns:m.012c64,ns:m.019p2,ns:computer.programming_language.influenced_by
ns:m.012gr,ns:m.04x1xl,ns:computer.programming_language.influenced_by
ns:m.012ryn,ns:m.04kn35,ns:computer.programming_language.influenced_by
ns:m.012ryn,ns:m.04mg4,ns:computer.programming_language.influenced_by
ns:m.012whz,ns:m.05z1_,ns:computer.programming_language.influenced
ns:m.012whz,ns:m.0338k6,ns:computer.programming_language.influenced_by
ns:m.012whz,ns:m.03ppzh,ns:computer.programming_language.influenced_by
ns:m.012whz,ns:m.05z1_,ns:computer.programming_language.dialects
ns:m.0135sm__,ns:m.04kyw,ns:computer.programming_language.influenced_by
ns:m.0135sm__,ns:m.06zrb,ns:computer.programming_language.influenced_by
ns:m.014254,ns:m.0h6g8,ns:computer.programming_language.influenced
ns:m.014254,ns:m.0h6g8,ns:computer.programming_language.dialects
ns:m.0146x,ns:m.042vgj,ns:computer.programming_language.influenced
ns:m.015glf,ns:m.028bwlw,ns:computer.programming_language.influenced
ns:m.015glf,ns:m.03j_q,ns:computer.programming_language.influenced
